epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9225,2.00667,1.6375,1.20292,0.6624,0.32405,0.35594,0.16608,1.74014,1.05798,1.06528,0.00332919,0.00332919,0.00332919
2,179.834,1.79569,1.12047,1.0644,0.69719,0.34833,0.39219,0.18625,1.70823,1.00976,1.04831,0.00653061,0.00653061,0.00653061
3,350.963,1.79583,1.08358,1.06047,0.69228,0.34478,0.38755,0.19005,1.70952,0.95378,1.04085,0.00960002,0.00960002,0.00960002
4,524.713,1.77412,1.05576,1.05482,0.68492,0.34044,0.39072,0.19564,1.68052,0.97453,1.04342,0.009406,0.009406,0.009406
5,722.044,1.72069,0.9909,1.04059,0.71907,0.36859,0.42012,0.21004,1.61847,0.89789,1.02792,0.009208,0.009208,0.009208
6,891.211,1.68757,0.96015,1.03104,0.73788,0.38322,0.44358,0.2247,1.59005,0.8459,1.01128,0.00901,0.00901,0.00901
7,1058.62,1.64899,0.92452,1.02196,0.72515,0.37864,0.43775,0.21904,1.58365,0.82826,1.01278,0.008812,0.008812,0.008812
8,1227.7,1.642,0.90983,1.01562,0.7465,0.38675,0.44106,0.22382,1.55385,0.83699,0.99958,0.008614,0.008614,0.008614
9,1397.33,1.62838,0.89337,1.00981,0.75693,0.40071,0.45964,0.23192,1.5474,0.79261,1.0088,0.008416,0.008416,0.008416
10,1566.84,1.60777,0.87455,1.00645,0.75529,0.39176,0.45604,0.23176,1.54551,0.79466,0.99851,0.008218,0.008218,0.008218
11,1735.3,1.59699,0.8667,0.99905,0.75453,0.40272,0.46546,0.24027,1.521,0.783,0.99583,0.00802,0.00802,0.00802
12,1903.03,1.58028,0.8537,0.99942,0.75379,0.41446,0.47248,0.24142,1.50694,0.76396,0.99043,0.007822,0.007822,0.007822
13,2070.79,1.57039,0.84308,0.9956,0.76276,0.41349,0.47662,0.24694,1.50143,0.75109,0.98715,0.007624,0.007624,0.007624
14,2238.31,1.5587,0.83027,0.99404,0.75502,0.42558,0.48582,0.25161,1.48373,0.73561,0.98462,0.007426,0.007426,0.007426
15,2407.58,1.55838,0.82941,0.99226,0.76959,0.41915,0.48585,0.25419,1.48012,0.72918,0.98251,0.007228,0.007228,0.007228
16,2575.52,1.53439,0.81184,0.99218,0.76139,0.42367,0.48521,0.25265,1.47624,0.73198,0.98543,0.00703,0.00703,0.00703
17,2743.69,1.54455,0.81197,0.98647,0.76224,0.42735,0.4924,0.25621,1.4695,0.7227,0.98106,0.006832,0.006832,0.006832
18,2915.06,1.53232,0.80973,0.98725,0.76639,0.42822,0.49135,0.25518,1.45965,0.72909,0.97509,0.006634,0.006634,0.006634
19,3084.89,1.52412,0.80059,0.98576,0.76768,0.43586,0.50202,0.26052,1.4651,0.70779,0.98133,0.006436,0.006436,0.006436
20,3253.95,1.52104,0.79467,0.98002,0.77018,0.43722,0.5038,0.26255,1.44733,0.70095,0.97232,0.006238,0.006238,0.006238
21,3424.36,1.51918,0.79648,0.9831,0.77,0.43175,0.49633,0.25815,1.45428,0.70675,0.97401,0.00604,0.00604,0.00604
22,3594.74,1.51148,0.78891,0.98085,0.76932,0.43642,0.50445,0.26294,1.45291,0.69865,0.97425,0.005842,0.005842,0.005842
